Source,Target,Weight
Bludau I,Itang EC,1
Itang EC,Schweizer L,1
Itang EC,Nordmann TM,1
Itang EC,Skowronek P,1
Itang EC,Wahle M,1
Itang EC,Zeng WF,1
Itang EC,Zhou XX,1
Brunner AD,Itang EC,1
Itang EC,Richter S,1
Itang EC,Levesque MP,1
Itang EC,Theis FJ,1
Itang EC,Steger M,1
Itang EC,Mann M,1
Ammar C,Rosenberger FA,2
Ammar C,Bludau I,1
Ammar C,Schweizer L,2
Ammar C,Nordmann TM,2
Ammar C,Skowronek P,2
Ammar C,Wahle M,2
Ammar C,Zeng WF,1
Ammar C,Zhou XX,1
Ammar C,Brunner AD,1
Ammar C,Richter S,1
Ammar C,Levesque MP,1
Ammar C,Theis FJ,1
Ammar C,Steger M,1
Ammar C,Mann M,2
Bludau I,Rosenberger FA,1
Rosenberger FA,Schweizer L,5
Nordmann TM,Rosenberger FA,5
Rosenberger FA,Skowronek P,2
Rosenberger FA,Wahle M,4
Rosenberger FA,Zeng WF,1
Rosenberger FA,Zhou XX,1
Brunner AD,Rosenberger FA,1
Richter S,Rosenberger FA,2
Levesque MP,Rosenberger FA,2
Rosenberger FA,Theis FJ,2
Rosenberger FA,Steger M,1
Mann M,Rosenberger FA,10
Bludau I,Schweizer L,1
Bludau I,Nordmann TM,1
Bludau I,Skowronek P,1
Bludau I,Wahle M,1
Bludau I,Zeng WF,1
Bludau I,Zhou XX,1
Bludau I,Brunner AD,1
Bludau I,Richter S,1
Bludau I,Levesque MP,1
Bludau I,Theis FJ,1
Bludau I,Steger M,1
Bludau I,Mann M,1
Nordmann TM,Schweizer L,6
Schweizer L,Skowronek P,2
Schweizer L,Wahle M,2
Schweizer L,Zeng WF,1
Schweizer L,Zhou XX,1
Richter S,Schweizer L,2
Levesque MP,Schweizer L,2
Schweizer L,Theis FJ,2
Schweizer L,Steger M,1
Nordmann TM,Skowronek P,2
Nordmann TM,Wahle M,3
Nordmann TM,Zeng WF,1
Nordmann TM,Zhou XX,1
Brunner AD,Nordmann TM,1
Nordmann TM,Richter S,2
Levesque MP,Nordmann TM,3
Nordmann TM,Theis FJ,2
Nordmann TM,Steger M,1
Mann M,Nordmann TM,7
Skowronek P,Wahle M,2
Skowronek P,Zeng WF,1
Skowronek P,Zhou XX,1
Brunner AD,Skowronek P,1
Richter S,Skowronek P,1
Levesque MP,Skowronek P,1
Skowronek P,Theis FJ,1
Skowronek P,Steger M,1
Mann M,Skowronek P,2
