Source,Target,Weight
Mund A,Saito Y,1
Abe R,Saito Y,1
Saito Y,Silke J,1
Ji C,Saito Y,2
French LE,Saito Y,1
Mann M,Saito Y,1
Gong T,Thielert M,1
Gong T,Kimura H,1
Gong T,Silke N,1
Gong T,Rodriguez EH,1
Gong T,Restivo G,1
Gong T,Nguyen HH,1
Gong T,Gross A,1
Feldmeyer L,Gong T,1
Gong T,Joerg L,1
Gong T,Levesque MP,1
Gong T,Murray PJ,1
Gong T,Ingen-Housz-Oro S,1
Gong T,Mund A,1
Abe R,Gong T,1
Gong T,Silke J,1
Gong T,Ji C,2
French LE,Gong T,1
Gong T,Mann M,1
Kimura H,Thielert M,1
Silke N,Thielert M,1
Rodriguez EH,Thielert M,2
Restivo G,Thielert M,1
Nguyen HH,Thielert M,1
Gross A,Thielert M,1
Feldmeyer L,Thielert M,1
Joerg L,Thielert M,1
Murray PJ,Thielert M,1
Ingen-Housz-Oro S,Thielert M,1
Abe R,Thielert M,1
Silke J,Thielert M,1
Ji C,Thielert M,2
French LE,Thielert M,1
Kimura H,Silke N,1
Kimura H,Rodriguez EH,1
Kimura H,Restivo G,1
Kimura H,Nguyen HH,1
Gross A,Kimura H,1
Feldmeyer L,Kimura H,1
Joerg L,Kimura H,1
Kimura H,Levesque MP,1
Kimura H,Murray PJ,1
Ingen-Housz-Oro S,Kimura H,1
Kimura H,Mund A,1
Abe R,Kimura H,1
Kimura H,Silke J,1
Ji C,Kimura H,2
French LE,Kimura H,1
Kimura H,Mann M,1
Rodriguez EH,Silke N,1
Restivo G,Silke N,1
Nguyen HH,Silke N,1
Gross A,Silke N,1
Feldmeyer L,Silke N,1
Joerg L,Silke N,1
Levesque MP,Silke N,1
Murray PJ,Silke N,1
Ingen-Housz-Oro S,Silke N,1
Mund A,Silke N,1
Abe R,Silke N,1
Silke J,Silke N,1
Ji C,Silke N,2
French LE,Silke N,1
Mann M,Silke N,1
Restivo G,Rodriguez EH,1
Nguyen HH,Rodriguez EH,1
Gross A,Rodriguez EH,1
Feldmeyer L,Rodriguez EH,1
Joerg L,Rodriguez EH,1
Levesque MP,Rodriguez EH,1
Murray PJ,Rodriguez EH,1
Ingen-Housz-Oro S,Rodriguez EH,1
Mund A,Rodriguez EH,1
Abe R,Rodriguez EH,1
Rodriguez EH,Silke J,1
Ji C,Rodriguez EH,2
French LE,Rodriguez EH,1
Mann M,Rodriguez EH,2
Nguyen HH,Restivo G,1
Gross A,Restivo G,1
Feldmeyer L,Restivo G,1
Joerg L,Restivo G,1
Levesque MP,Restivo G,1
Murray PJ,Restivo G,1
Ingen-Housz-Oro S,Restivo G,1
Mund A,Restivo G,1
Abe R,Restivo G,1
Restivo G,Silke J,1
Ji C,Restivo G,2
French LE,Restivo G,1
Mann M,Restivo G,1
Gross A,Nguyen HH,1
Feldmeyer L,Nguyen HH,1
Joerg L,Nguyen HH,1
Levesque MP,Nguyen HH,1
Murray PJ,Nguyen HH,1
Ingen-Housz-Oro S,Nguyen HH,1
Mund A,Nguyen HH,1
Abe R,Nguyen HH,1
Nguyen HH,Silke J,1
Ji C,Nguyen HH,2
French LE,Nguyen HH,1
Mann M,Nguyen HH,1
Feldmeyer L,Gross A,1
Gross A,Joerg L,1
Gross A,Levesque MP,1
Gross A,Murray PJ,1
Gross A,Ingen-Housz-Oro S,1
Gross A,Mund A,1
Abe R,Gross A,1
Gross A,Silke J,1
Gross A,Ji C,2
French LE,Gross A,1
Gross A,Mann M,1
Feldmeyer L,Joerg L,1
Feldmeyer L,Levesque MP,1
Feldmeyer L,Murray PJ,1
Feldmeyer L,Ingen-Housz-Oro S,1
Feldmeyer L,Mund A,1
Abe R,Feldmeyer L,1
Feldmeyer L,Silke J,1
Feldmeyer L,Ji C,2
Feldmeyer L,French LE,1
Feldmeyer L,Mann M,1
Joerg L,Levesque MP,1
Joerg L,Murray PJ,1
Ingen-Housz-Oro S,Joerg L,1
Joerg L,Mund A,1
Abe R,Joerg L,1
Joerg L,Silke J,1
Ji C,Joerg L,2
French LE,Joerg L,1
Joerg L,Mann M,1
Levesque MP,Murray PJ,1
Ingen-Housz-Oro S,Levesque MP,1
Levesque MP,Mund A,1
Abe R,Levesque MP,1
Levesque MP,Silke J,1
Ji C,Levesque MP,2
French LE,Levesque MP,1
Ingen-Housz-Oro S,Murray PJ,1
Mund A,Murray PJ,1
Abe R,Murray PJ,1
Murray PJ,Silke J,1
Ji C,Murray PJ,2
French LE,Murray PJ,1
Mann M,Murray PJ,2
Ingen-Housz-Oro S,Mund A,1
Abe R,Ingen-Housz-Oro S,1
Ingen-Housz-Oro S,Silke J,1
Ingen-Housz-Oro S,Ji C,2
French LE,Ingen-Housz-Oro S,1
Ingen-Housz-Oro S,Mann M,1
Abe R,Mund A,1
Mund A,Silke J,1
Ji C,Mund A,2
French LE,Mund A,1
Abe R,Silke J,1
Abe R,Ji C,2
Abe R,French LE,1
Abe R,Mann M,1
Ji C,Silke J,2
French LE,Silke J,1
Mann M,Silke J,1
Ji C,Ji C,1
French LE,Ji C,2
Ji C,Mann M,2
French LE,Mann M,1
Kabatnik S,Pappas G,1
Kabatnik S,Steigerwald S,2
Kabatnik S,Padula MP,1
Pappas G,Zheng X,1
Steigerwald S,Zheng X,1
Padula MP,Zheng X,1
Pappas G,Steigerwald S,1
Padula MP,Pappas G,1
Mann M,Pappas G,1
Padula MP,Steigerwald S,1
Mann M,Steigerwald S,4
Mann M,Padula MP,1
Boottanun P,Fuseya S,1
Boottanun P,Kuno A,1
Fuseya S,Kuno A,1
Rosenberger FA,Thorhauge KH,1
Rosenberger FA,Steigerwald S,2
Fromme M,Rosenberger FA,1
Lebedev M,Rosenberger FA,1
Rosenberger FA,Weiss CAM,3
Oeller M,Rosenberger FA,3
Rosenberger FA,Schmacke NA,1
Detlefsen S,Rosenberger FA,1
Boor P,Rosenberger FA,1
Fabián O,Rosenberger FA,1
Fraňková S,Rosenberger FA,1
Krag A,Rosenberger FA,1
Rosenberger FA,Strnad P,1
Mädler SC,Thorhauge KH,1
Mädler SC,Steigerwald S,1
Fromme M,Mädler SC,1
Lebedev M,Mädler SC,1
Mädler SC,Weiss CAM,1
Mädler SC,Oeller M,1
Mädler SC,Zwiebel M,1
Mädler SC,Schmacke NA,2
Detlefsen S,Mädler SC,1
Boor P,Mädler SC,1
Fabián O,Mädler SC,1
Fraňková S,Mädler SC,1
Krag A,Mädler SC,1
Mädler SC,Strnad P,1
Steigerwald S,Thorhauge KH,1
Fromme M,Thorhauge KH,1
Lebedev M,Thorhauge KH,1
Thorhauge KH,Weiss CAM,1
Oeller M,Thorhauge KH,1
Thorhauge KH,Wahle M,1
Metousis A,Thorhauge KH,1
Thorhauge KH,Zwiebel M,1
Schmacke NA,Thorhauge KH,1
Detlefsen S,Thorhauge KH,1
Boor P,Thorhauge KH,1
Fabián O,Thorhauge KH,1
Fraňková S,Thorhauge KH,1
Krag A,Thorhauge KH,1
Strnad P,Thorhauge KH,1
Mann M,Thorhauge KH,1
Fromme M,Steigerwald S,1
Lebedev M,Steigerwald S,1
Steigerwald S,Weiss CAM,2
Oeller M,Steigerwald S,1
Steigerwald S,Wahle M,1
Metousis A,Steigerwald S,1
Steigerwald S,Zwiebel M,1
Schmacke NA,Steigerwald S,1
Detlefsen S,Steigerwald S,1
Boor P,Steigerwald S,1
Fabián O,Steigerwald S,1
Fraňková S,Steigerwald S,1
Krag A,Steigerwald S,1
Steigerwald S,Strnad P,1
Fromme M,Lebedev M,1
Fromme M,Weiss CAM,1
Fromme M,Oeller M,1
Fromme M,Wahle M,1
Fromme M,Metousis A,1
Fromme M,Zwiebel M,1
Fromme M,Schmacke NA,1
Detlefsen S,Fromme M,1
Boor P,Fromme M,1
Fabián O,Fromme M,1
Fraňková S,Fromme M,1
Fromme M,Krag A,1
Fromme M,Strnad P,1
Fromme M,Mann M,1
Lebedev M,Weiss CAM,1
Lebedev M,Oeller M,1
Lebedev M,Wahle M,1
Lebedev M,Metousis A,1
Lebedev M,Zwiebel M,1
Lebedev M,Schmacke NA,1
Detlefsen S,Lebedev M,1
Boor P,Lebedev M,1
Fabián O,Lebedev M,1
Fraňková S,Lebedev M,1
Krag A,Lebedev M,1
Lebedev M,Strnad P,1
Lebedev M,Mann M,1
Oeller M,Weiss CAM,2
Wahle M,Weiss CAM,2
Metousis A,Weiss CAM,2
Weiss CAM,Zwiebel M,1
Schmacke NA,Weiss CAM,1
Detlefsen S,Weiss CAM,1
Boor P,Weiss CAM,1
Fabián O,Weiss CAM,1
Fraňková S,Weiss CAM,1
Krag A,Weiss CAM,1
Strnad P,Weiss CAM,1
Mann M,Weiss CAM,3
Oeller M,Wahle M,2
Metousis A,Oeller M,3
Oeller M,Zwiebel M,2
Oeller M,Schmacke NA,1
Detlefsen S,Oeller M,1
Boor P,Oeller M,1
Fabián O,Oeller M,1
Fraňková S,Oeller M,1
Krag A,Oeller M,1
Oeller M,Strnad P,1
Mann M,Oeller M,3
Wahle M,Zwiebel M,2
Schmacke NA,Wahle M,1
Detlefsen S,Wahle M,1
Boor P,Wahle M,1
Fabián O,Wahle M,1
Fraňková S,Wahle M,1
Krag A,Wahle M,1
Strnad P,Wahle M,1
Metousis A,Schmacke NA,2
Detlefsen S,Metousis A,1
Boor P,Metousis A,1
Fabián O,Metousis A,1
Fraňková S,Metousis A,1
Krag A,Metousis A,1
Metousis A,Strnad P,1
Schmacke NA,Zwiebel M,1
Detlefsen S,Zwiebel M,1
Boor P,Zwiebel M,1
Fabián O,Zwiebel M,1
Fraňková S,Zwiebel M,1
Krag A,Zwiebel M,1
Strnad P,Zwiebel M,1
Detlefsen S,Schmacke NA,1
Boor P,Schmacke NA,1
Fabián O,Schmacke NA,1
Fraňková S,Schmacke NA,1
Krag A,Schmacke NA,1
Schmacke NA,Strnad P,1
Mann M,Schmacke NA,2
Boor P,Detlefsen S,1
Detlefsen S,Fabián O,1
Detlefsen S,Fraňková S,1
Detlefsen S,Krag A,1
Detlefsen S,Strnad P,1
Detlefsen S,Mann M,1
Boor P,Fabián O,1
Boor P,Fraňková S,1
Boor P,Krag A,1
Boor P,Strnad P,1
Boor P,Mann M,1
Fabián O,Fraňková S,1
Fabián O,Krag A,1
Fabián O,Strnad P,1
Fabián O,Mann M,1
Fraňková S,Krag A,1
Fraňková S,Strnad P,1
Fraňková S,Mann M,1
Krag A,Strnad P,1
Krag A,Mann M,1
Mann M,Strnad P,1
Kenny HA,Schweizer L,1
Krishnan R,Schweizer L,1
Kelliher L,Schweizer L,1
Bilecz AJ,Schweizer L,1
Heide J,Schweizer L,1
Donle L,Schweizer L,1
Schweizer L,Shimizu A,1
Mendoza R,Schweizer L,1
Rauch S,Schweizer L,1
Li Y,Schweizer L,1
Kurnit KC,Schweizer L,1
Müller-Reif JB,Schweizer L,1
Schweizer L,Yamada SD,1
Lastra RR,Schweizer L,1
Kenny HA,Krishnan R,1
Kelliher L,Kenny HA,1
Bilecz AJ,Kenny HA,1
Heide J,Kenny HA,1
Donle L,Kenny HA,1
Kenny HA,Shimizu A,1
Kenny HA,Metousis A,1
Kenny HA,Mendoza R,1
Kenny HA,Nordmann TM,1
Kenny HA,Rauch S,1
Kenny HA,Richter S,1
Kenny HA,Li Y,1
Kenny HA,Rosenberger FA,1
Kenny HA,Strauss MT,1
Kenny HA,Kurnit KC,1
Kenny HA,Thielert M,1
Kenny HA,Rodriguez E,1
Kenny HA,Müller-Reif JB,1
Kenny HA,Yamada SD,1
Kenny HA,Theis FJ,1
Kenny HA,Mund A,1
Kenny HA,Lastra RR,1
Kenny HA,Mann M,1
Kenny HA,Lengyel E,1
Kelliher L,Krishnan R,1
Bilecz AJ,Krishnan R,1
Heide J,Krishnan R,1
Donle L,Krishnan R,1
Krishnan R,Shimizu A,1
Krishnan R,Metousis A,1
Krishnan R,Mendoza R,1
Krishnan R,Nordmann TM,1
Krishnan R,Rauch S,1
Krishnan R,Richter S,1
Krishnan R,Li Y,1
Krishnan R,Rosenberger FA,1
Krishnan R,Strauss MT,1
Krishnan R,Kurnit KC,1
Krishnan R,Thielert M,1
Krishnan R,Rodriguez E,1
Krishnan R,Müller-Reif JB,1
Krishnan R,Yamada SD,1
Krishnan R,Theis FJ,1
Krishnan R,Mund A,1
Krishnan R,Lastra RR,1
Krishnan R,Mann M,1
Krishnan R,Lengyel E,1
Bilecz AJ,Kelliher L,1
Heide J,Kelliher L,1
Donle L,Kelliher L,1
Kelliher L,Shimizu A,1
Kelliher L,Metousis A,1
Kelliher L,Mendoza R,1
Kelliher L,Nordmann TM,1
Kelliher L,Rauch S,1
Kelliher L,Richter S,1
Kelliher L,Li Y,1
Kelliher L,Rosenberger FA,1
Kelliher L,Strauss MT,1
Kelliher L,Kurnit KC,1
Kelliher L,Thielert M,1
Kelliher L,Rodriguez E,1
Kelliher L,Müller-Reif JB,1
Kelliher L,Yamada SD,1
Kelliher L,Theis FJ,1
Kelliher L,Mund A,1
Kelliher L,Lastra RR,1
Kelliher L,Mann M,1
Kelliher L,Lengyel E,1
Bilecz AJ,Heide J,1
Bilecz AJ,Donle L,1
Bilecz AJ,Shimizu A,1
Bilecz AJ,Metousis A,1
Bilecz AJ,Mendoza R,1
Bilecz AJ,Nordmann TM,1
Bilecz AJ,Rauch S,1
Bilecz AJ,Richter S,1
Bilecz AJ,Li Y,1
Bilecz AJ,Rosenberger FA,1
Bilecz AJ,Strauss MT,1
Bilecz AJ,Kurnit KC,1
Bilecz AJ,Thielert M,1
Bilecz AJ,Rodriguez E,1
Bilecz AJ,Müller-Reif JB,1
Bilecz AJ,Yamada SD,1
Bilecz AJ,Theis FJ,1
Bilecz AJ,Mund A,1
Bilecz AJ,Lastra RR,1
Bilecz AJ,Mann M,1
Bilecz AJ,Lengyel E,1
Donle L,Heide J,1
Heide J,Shimizu A,1
Heide J,Metousis A,1
Heide J,Mendoza R,1
Heide J,Nordmann TM,1
Heide J,Rauch S,1
Heide J,Richter S,1
Heide J,Li Y,1
Heide J,Rosenberger FA,1
Heide J,Strauss MT,1
Heide J,Kurnit KC,1
Heide J,Thielert M,1
Heide J,Rodriguez E,1
Heide J,Müller-Reif JB,1
Heide J,Yamada SD,1
Heide J,Theis FJ,1
Heide J,Mund A,1
Heide J,Lastra RR,1
Heide J,Mann M,1
Heide J,Lengyel E,1
Donle L,Shimizu A,1
Donle L,Metousis A,1
Donle L,Mendoza R,1
Donle L,Nordmann TM,1
Donle L,Rauch S,1
Donle L,Richter S,1
Donle L,Li Y,1
Donle L,Rosenberger FA,1
Donle L,Strauss MT,1
Donle L,Kurnit KC,1
Donle L,Thielert M,1
Donle L,Rodriguez E,1
Donle L,Müller-Reif JB,1
Donle L,Yamada SD,1
Donle L,Theis FJ,1
Donle L,Mund A,1
Donle L,Lastra RR,1
Donle L,Mann M,1
Donle L,Lengyel E,1
Metousis A,Shimizu A,1
Mendoza R,Shimizu A,1
Nordmann TM,Shimizu A,1
Rauch S,Shimizu A,1
Richter S,Shimizu A,1
Li Y,Shimizu A,1
Rosenberger FA,Shimizu A,1
Shimizu A,Strauss MT,1
Kurnit KC,Shimizu A,1
Shimizu A,Thielert M,1
Rodriguez E,Shimizu A,1
Müller-Reif JB,Shimizu A,1
Shimizu A,Yamada SD,1
Shimizu A,Theis FJ,1
Mund A,Shimizu A,1
Lastra RR,Shimizu A,1
Mann M,Shimizu A,1
Lengyel E,Shimizu A,1
Mendoza R,Metousis A,1
Metousis A,Rauch S,1
Metousis A,Richter S,1
Li Y,Metousis A,1
Kurnit KC,Metousis A,1
Metousis A,Müller-Reif JB,1
Metousis A,Yamada SD,1
Metousis A,Theis FJ,1
Lastra RR,Metousis A,1
Lengyel E,Metousis A,2
Mendoza R,Nordmann TM,1
Mendoza R,Rauch S,1
Mendoza R,Richter S,1
Li Y,Mendoza R,1
Mendoza R,Rosenberger FA,1
Mendoza R,Strauss MT,1
Kurnit KC,Mendoza R,1
Mendoza R,Thielert M,1
Mendoza R,Rodriguez E,1
Mendoza R,Müller-Reif JB,1
Mendoza R,Yamada SD,1
Mendoza R,Theis FJ,1
Mendoza R,Mund A,1
Lastra RR,Mendoza R,1
Mann M,Mendoza R,1
Lengyel E,Mendoza R,1
Nordmann TM,Rauch S,1
Li Y,Nordmann TM,1
Kurnit KC,Nordmann TM,1
Müller-Reif JB,Nordmann TM,1
Nordmann TM,Yamada SD,1
Lastra RR,Nordmann TM,1
Lengyel E,Nordmann TM,2
Rauch S,Richter S,1
Li Y,Rauch S,1
Rauch S,Rosenberger FA,1
Rauch S,Strauss MT,1
Kurnit KC,Rauch S,1
Rauch S,Thielert M,1
Rauch S,Rodriguez E,1
Müller-Reif JB,Rauch S,1
Rauch S,Yamada SD,1
Rauch S,Theis FJ,1
Mund A,Rauch S,1
Lastra RR,Rauch S,1
Mann M,Rauch S,1
Lengyel E,Rauch S,1
Li Y,Richter S,1
Richter S,Strauss MT,1
Kurnit KC,Richter S,1
Richter S,Rodriguez E,1
Müller-Reif JB,Richter S,1
Richter S,Yamada SD,1
Mund A,Richter S,1
Lastra RR,Richter S,1
Lengyel E,Richter S,1
Li Y,Rosenberger FA,1
Li Y,Strauss MT,1
Kurnit KC,Li Y,1
Li Y,Thielert M,1
Li Y,Rodriguez E,1
Li Y,Müller-Reif JB,1
Li Y,Yamada SD,1
Li Y,Theis FJ,1
Li Y,Mund A,1
Lastra RR,Li Y,1
Li Y,Mann M,1
Lengyel E,Li Y,1
Kurnit KC,Rosenberger FA,1
Müller-Reif JB,Rosenberger FA,1
Rosenberger FA,Yamada SD,1
Lastra RR,Rosenberger FA,1
Lengyel E,Rosenberger FA,1
Kurnit KC,Strauss MT,1
Müller-Reif JB,Strauss MT,1
Strauss MT,Yamada SD,1
Strauss MT,Theis FJ,1
Lastra RR,Strauss MT,1
Lengyel E,Strauss MT,1
Kurnit KC,Thielert M,1
Kurnit KC,Rodriguez E,1
Kurnit KC,Müller-Reif JB,1
Kurnit KC,Yamada SD,1
Kurnit KC,Theis FJ,1
Kurnit KC,Mund A,1
Kurnit KC,Lastra RR,1
Kurnit KC,Mann M,1
Kurnit KC,Lengyel E,1
Müller-Reif JB,Thielert M,1
Thielert M,Yamada SD,1
Lastra RR,Thielert M,1
Lengyel E,Thielert M,1
Müller-Reif JB,Rodriguez E,1
Rodriguez E,Yamada SD,1
Rodriguez E,Theis FJ,1
Lastra RR,Rodriguez E,1
Lengyel E,Rodriguez E,1
Müller-Reif JB,Yamada SD,1
Müller-Reif JB,Theis FJ,1
Mund A,Müller-Reif JB,1
Lastra RR,Müller-Reif JB,1
Mann M,Müller-Reif JB,1
Lengyel E,Müller-Reif JB,1
Theis FJ,Yamada SD,1
Mund A,Yamada SD,1
Lastra RR,Yamada SD,1
Mann M,Yamada SD,1
Lengyel E,Yamada SD,1
Mund A,Theis FJ,1
Lastra RR,Theis FJ,1
Lengyel E,Theis FJ,1
Lastra RR,Mund A,1
Lastra RR,Mann M,1
Lastra RR,Lengyel E,1
Bhat M,Manickavel P,1
Guedes J,Woldmar N,1
Guedes J,Szasz AM,1
Guedes J,Wieslander E,1
Guedes J,Pawłowski K,1
Guedes J,Horvatovich P,1
Guedes J,Malm J,1
Guedes J,Szadai L,1
Guedes J,Németh IB,1
Guedes J,Marko-Varga G,1
Gil J,Guedes J,1
Szasz AM,Woldmar N,1
Wieslander E,Woldmar N,1
Pawłowski K,Woldmar N,1
Horvatovich P,Woldmar N,1
Malm J,Woldmar N,1
Szadai L,Woldmar N,1
Németh IB,Woldmar N,1
Marko-Varga G,Woldmar N,1
Gil J,Woldmar N,1
Szasz AM,Wieslander E,1
Pawłowski K,Szasz AM,1
Horvatovich P,Szasz AM,1
Malm J,Szasz AM,1
Szadai L,Szasz AM,1
Németh IB,Szasz AM,1
Marko-Varga G,Szasz AM,1
Gil J,Szasz AM,1
Pawłowski K,Wieslander E,1
Horvatovich P,Wieslander E,1
Malm J,Wieslander E,1
Szadai L,Wieslander E,1
Németh IB,Wieslander E,1
Marko-Varga G,Wieslander E,1
Gil J,Wieslander E,1
Horvatovich P,Pawłowski K,1
Malm J,Pawłowski K,1
Pawłowski K,Szadai L,1
Németh IB,Pawłowski K,1
Marko-Varga G,Pawłowski K,1
Gil J,Pawłowski K,1
Horvatovich P,Malm J,1
Horvatovich P,Szadai L,1
Horvatovich P,Németh IB,1
Horvatovich P,Marko-Varga G,1
Gil J,Horvatovich P,1
Malm J,Szadai L,1
Malm J,Németh IB,1
Malm J,Marko-Varga G,1
Gil J,Malm J,1
Németh IB,Szadai L,1
Marko-Varga G,Szadai L,1
Gil J,Szadai L,1
Marko-Varga G,Németh IB,1
Gil J,Németh IB,1
Gil J,Marko-Varga G,1
Hausmann A,Post F,1
Post F,Steigerwald S,1
Brand A,Post F,1
Clement DL,Post F,1
Post F,Skov J,1
Lõhmussaar K,Post F,1
Larsen HL,Post F,1
Maimets M,Post F,1
Boye TL,Post F,1
Jez G,Post F,1
Post F,Sato T,1
Post F,Steenholdt C,1
Post F,Rosenberger F,1
Nielsen OH,Post F,1
Jensen KB,Post F,1
Hausmann A,Kabatnik S,1
Hausmann A,Steigerwald S,1
Brand A,Hausmann A,1
Clement DL,Hausmann A,1
Hausmann A,Skov J,1
Hausmann A,Lõhmussaar K,1
Hausmann A,Larsen HL,1
Hausmann A,Maimets M,1
Boye TL,Hausmann A,1
Hausmann A,Jez G,1
Hausmann A,Sato T,1
Hausmann A,Steenholdt C,1
Hausmann A,Rosenberger F,1
Hausmann A,Mund A,1
Hausmann A,Nielsen OH,1
Hausmann A,Jensen KB,1
Hausmann A,Mann M,1
Brand A,Kabatnik S,1
Clement DL,Kabatnik S,1
Kabatnik S,Skov J,1
Kabatnik S,Lõhmussaar K,1
Kabatnik S,Larsen HL,1
Kabatnik S,Maimets M,1
Boye TL,Kabatnik S,1
Jez G,Kabatnik S,1
Kabatnik S,Sato T,1
Kabatnik S,Steenholdt C,1
Kabatnik S,Rosenberger F,1
Kabatnik S,Nielsen OH,1
Jensen KB,Kabatnik S,1
Brand A,Steigerwald S,1
Clement DL,Steigerwald S,1
Skov J,Steigerwald S,1
Lõhmussaar K,Steigerwald S,1
Larsen HL,Steigerwald S,1
Maimets M,Steigerwald S,1
Boye TL,Steigerwald S,1
Jez G,Steigerwald S,1
Sato T,Steigerwald S,1
Steenholdt C,Steigerwald S,1
Rosenberger F,Steigerwald S,1
Mund A,Steigerwald S,1
Nielsen OH,Steigerwald S,1
Jensen KB,Steigerwald S,1
Brand A,Clement DL,1
Brand A,Skov J,1
Brand A,Lõhmussaar K,1
Brand A,Larsen HL,1
Brand A,Maimets M,1
Boye TL,Brand A,1
Brand A,Jez G,1
Brand A,Sato T,1
Brand A,Steenholdt C,1
Brand A,Rosenberger F,1
Brand A,Mund A,1
Brand A,Nielsen OH,1
Brand A,Jensen KB,1
Brand A,Mann M,1
Clement DL,Skov J,1
Clement DL,Lõhmussaar K,1
Clement DL,Larsen HL,1
Clement DL,Maimets M,1
Boye TL,Clement DL,1
Clement DL,Jez G,1
Clement DL,Sato T,1
Clement DL,Steenholdt C,1
Clement DL,Rosenberger F,1
Clement DL,Mund A,1
Clement DL,Nielsen OH,1
Clement DL,Jensen KB,1
Clement DL,Mann M,1
Lõhmussaar K,Skov J,1
Larsen HL,Skov J,1
Maimets M,Skov J,1
Boye TL,Skov J,1
Jez G,Skov J,1
Sato T,Skov J,1
Skov J,Steenholdt C,1
Rosenberger F,Skov J,1
Mund A,Skov J,1
Nielsen OH,Skov J,1
Jensen KB,Skov J,1
Mann M,Skov J,1
Larsen HL,Lõhmussaar K,1
Lõhmussaar K,Maimets M,1
Boye TL,Lõhmussaar K,1
Jez G,Lõhmussaar K,1
Lõhmussaar K,Sato T,1
Lõhmussaar K,Steenholdt C,1
Lõhmussaar K,Rosenberger F,1
Lõhmussaar K,Mund A,1
Lõhmussaar K,Nielsen OH,1
Jensen KB,Lõhmussaar K,1
Lõhmussaar K,Mann M,1
Larsen HL,Maimets M,1
Boye TL,Larsen HL,1
Jez G,Larsen HL,1
Larsen HL,Sato T,1
Larsen HL,Steenholdt C,1
Larsen HL,Rosenberger F,1
Larsen HL,Mund A,1
Larsen HL,Nielsen OH,1
Jensen KB,Larsen HL,1
Larsen HL,Mann M,1
Boye TL,Maimets M,1
Jez G,Maimets M,1
Maimets M,Sato T,1
Maimets M,Steenholdt C,1
Maimets M,Rosenberger F,1
Maimets M,Mund A,1
Maimets M,Nielsen OH,1
Jensen KB,Maimets M,1
Maimets M,Mann M,1
Boye TL,Jez G,1
Boye TL,Sato T,1
Boye TL,Steenholdt C,1
Boye TL,Rosenberger F,1
Boye TL,Mund A,1
Boye TL,Nielsen OH,1
Boye TL,Jensen KB,1
Boye TL,Mann M,1
Jez G,Sato T,1
Jez G,Steenholdt C,1
Jez G,Rosenberger F,1
Jez G,Mund A,2
Jez G,Nielsen OH,1
Jensen KB,Jez G,1
Jez G,Mann M,1
Sato T,Steenholdt C,1
Rosenberger F,Sato T,1
Mund A,Sato T,1
Nielsen OH,Sato T,1
Jensen KB,Sato T,1
Mann M,Sato T,1
Rosenberger F,Steenholdt C,1
Mund A,Steenholdt C,1
Nielsen OH,Steenholdt C,1
Jensen KB,Steenholdt C,1
Mann M,Steenholdt C,1
Mund A,Rosenberger F,1
Nielsen OH,Rosenberger F,1
Jensen KB,Rosenberger F,1
Mann M,Rosenberger F,1
Mund A,Nielsen OH,1
Jensen KB,Mund A,1
Jensen KB,Nielsen OH,1
Mann M,Nielsen OH,1
Jensen KB,Mann M,1
Sicklinger F,Wünnemann F,1
Bestak K,Wünnemann F,1
Nimo J,Wünnemann F,1
Thiemann T,Wünnemann F,1
Amrute JM,Wünnemann F,1
Nordbeck M,Wünnemann F,1
Hartmann N,Wünnemann F,1
Ibarra-Arellano MA,Wünnemann F,1
Tanevski J,Wünnemann F,1
Chazotte M,Wünnemann F,1
Heine C,Wünnemann F,1
Frey N,Wünnemann F,1
Lavine KJ,Wünnemann F,1
Coscia F,Wünnemann F,1
Saez-Rodriguez J,Wünnemann F,1
Leuschner F,Wünnemann F,1
Schapiro D,Wünnemann F,1
Bestak K,Sicklinger F,1
Nimo J,Sicklinger F,1
Sicklinger F,Thiemann T,1
Amrute JM,Sicklinger F,1
Nordbeck M,Sicklinger F,1
Hartmann N,Sicklinger F,1
Ibarra-Arellano MA,Sicklinger F,1
Sicklinger F,Tanevski J,1
Chazotte M,Sicklinger F,1
Heine C,Sicklinger F,1
Frey N,Sicklinger F,1
Lavine KJ,Sicklinger F,1
Coscia F,Sicklinger F,1
Saez-Rodriguez J,Sicklinger F,1
Leuschner F,Sicklinger F,1
Schapiro D,Sicklinger F,1
Bestak K,Nimo J,1
Bestak K,Thiemann T,1
Amrute JM,Bestak K,1
Bestak K,Nordbeck M,1
Bestak K,Hartmann N,1
Bestak K,Ibarra-Arellano MA,1
Bestak K,Tanevski J,1
Bestak K,Chazotte M,1
Bestak K,Heine C,1
Bestak K,Frey N,1
Bestak K,Lavine KJ,1
Bestak K,Coscia F,1
Bestak K,Saez-Rodriguez J,1
Bestak K,Leuschner F,1
Bestak K,Schapiro D,1
Nimo J,Thiemann T,1
Amrute JM,Nimo J,1
Nimo J,Nordbeck M,1
Hartmann N,Nimo J,1
Ibarra-Arellano MA,Nimo J,1
Nimo J,Tanevski J,1
Chazotte M,Nimo J,1
Heine C,Nimo J,1
Frey N,Nimo J,1
Lavine KJ,Nimo J,1
Nimo J,Saez-Rodriguez J,1
Leuschner F,Nimo J,1
Nimo J,Schapiro D,1
Amrute JM,Thiemann T,1
Nordbeck M,Thiemann T,1
Hartmann N,Thiemann T,1
Ibarra-Arellano MA,Thiemann T,1
Tanevski J,Thiemann T,1
Chazotte M,Thiemann T,1
