Source,Target,Type
Rosenberger FA,40578359,Author-Paper
Strauss MT,40578359,Author-Paper
Kurnit KC,40578359,Author-Paper
Thielert M,40578359,Author-Paper
Rodriguez E,40578359,Author-Paper
Müller-Reif JB,40578359,Author-Paper
Yamada SD,40578359,Author-Paper
Theis FJ,40578359,Author-Paper
Mund A,40578359,Author-Paper
Lastra RR,40578359,Author-Paper
Mann M,40578359,Author-Paper
Lengyel E,40578359,Author-Paper
Oliinyk D,PPR1029109,Author-Paper
Heymann T,PPR1029109,Author-Paper
Henneberg L,PPR1029109,Author-Paper
Bardziukova A,PPR1029109,Author-Paper
Thielert M,PPR1029109,Author-Paper
Kjærgaard J,PPR1029109,Author-Paper
Zwiebel M,PPR1029109,Author-Paper
Vasconez S,PPR1029109,Author-Paper
Oeller M,PPR1029109,Author-Paper
Metousis A,PPR1029109,Author-Paper
Ugur E,PPR1029109,Author-Paper
Rodriguez EH,PPR1029109,Author-Paper
Rosenberger FA,PPR1029109,Author-Paper
Schallenberg S,PPR1029109,Author-Paper
Klauschen F,PPR1029109,Author-Paper
Mann M,PPR1029109,Author-Paper
Zheng X,PPR866889,Author-Paper
Pedersen LM,PPR866889,Author-Paper
Bzorek M,PPR866889,Author-Paper
Mund A,PPR866889,Author-Paper
Gjerdrum LMR,PPR866889,Author-Paper
Mann M,PPR866889,Author-Paper
Kabatnik S,39910169,Author-Paper
Zheng X,39910169,Author-Paper
Pappas G,39910169,Author-Paper
Steigerwald S,39910169,Author-Paper
Padula MP,39910169,Author-Paper
Mann M,39910169,Author-Paper
Migh E,PPR1002479,Author-Paper
Miczán V,PPR1002479,Author-Paper
Post F,PPR1002479,Author-Paper
Koos K,PPR1002479,Author-Paper
Beleon A,PPR1002479,Author-Paper
Kokai D,PPR1002479,Author-Paper
Iván ZZ,PPR1002479,Author-Paper
Grexa I,PPR1002479,Author-Paper
Moshkov N,PPR1002479,Author-Paper
Hollandi R,PPR1002479,Author-Paper
Csikos D,PPR1002479,Author-Paper
