Id,Label,Type,Publications,Country,Institution,Year,Citations
41418981,An Ultrasensitive Spatial Tissue Proteomics Workflow Exceeding 100 Proteomes Per Day,Paper,,,,2026,3
38513891,An Automated and Fast Sample Preparation Workflow for Laser Microdissection Guided Ultrasensitive Proteomics,Paper,,,,2024,21
39415009,Spatial proteomics identifies JAKi as treatment for a lethal skin disease,Paper,,,,2024,101
37783884,Spatial single-cell mass spectrometry defines zonation of the hepatocyte proteome,Paper,,,,2023,170
37602975,Robust dimethyl-based multiplex-DIA doubles single-cell proteome depth via a reference channel,Paper,,,,2023,97
35590073,Deep Visual Proteomics defines single-cell identity and heterogeneity,Paper,,,,2022,500
41044418,Spatial multiomics of acute myocardial infarction reveals immune cell infiltration through the endocardium,Paper,,,,2025,13
41233595,Spatial proteomics of ovarian cancer precursors delineates early disease changes and drug targets,Paper,,,,2026,3
PPR1281006,Deep Visual Proteomics links vascular smooth muscle cell phenotypes to atherosclerotic plaque stability,Paper,,,,2026,0
PPR1277341,Cell-type-resolved spatial proteogenomics from matched genome and proteome of the same cells,Paper,,,,2026,0
PPR1242524,A cell type-resolved proteomic atlas of the human body,Paper,,,,2026,0
PPR1010749,Multiplexed Deep Visual Proteomics Unveils Spatial Heterogeneity and Rare Endocrine States in Human Adult Pancreatic Islets,Paper,,,,2025,3
PPR1068194,Spatial proteomics reveals mechanisms of cell-intrinsic tryptophan metabolism controlling ovarian cancer survival,Paper,,,,2025,0
PPR1052391,OpenDVP: An experimental and computational framework for community-empowered deep visual proteomics,Paper,,,,2025,3
PPR1029109,nanoPhos enables ultra-sensitive and cell-type resolved spatial phosphoproteomics,Paper,,,,2025,7
PPR866889,Deep Visual Proteomics Unveils Precision Medicine Insights in Composite Small Lymphocytic and Classical Hodgkin Lymphoma,Paper,,,,2024,1
PPR1002479,A Morpho-Proteomic Atlas of Mitosis at Sub-Minute Resolution,Paper,,,,2025,1
PPR1051520,Maternal smoking in early pregnancy disrupts placental function through syncytiotrophoblast and macrophage dysregulation,Paper,,,,2025,1
PPR669390,"SPARCS, a platform for genome-scale CRISPR screening for spatial cellular phenotypes",Paper,,,,2023,8
