Id,Label,Type,Publications,Country,Institution,Year,Citations
Chazotte M,Chazotte M,Author,1,Germany,University Hospital Heidelberg and Heidelberg University,,
Chen J,Chen J,Author,1,Germany,ISAS,,
Clement DL,Clement DL,Author,1,Denmark,University of Copenhagen,,
Coscia F,Coscia F,Author,11,Germany,Max-Delbrück-Center for Molecular Medicine in the Helmholtz Association (MDC),,
Csikos D,Csikos D,Author,1,Denmark,Eötvös Loránd Research Network,,
Debnath A,Debnath A,Author,1,Germany,Max Planck Institute of Biochemistry,,
Dechend R,Dechend R,Author,1,Germany,Max-Delbrück-Center for Molecular Medicine in the Helmholtz Association (MDC),,
Detlefsen S,Detlefsen S,Author,1,Denmark,University of Southern Denmark,,
Diedrich L,Diedrich L,Author,1,Germany,Max Planck Institute of Biochemistry,,
Donle L,Donle L,Author,1,United States,The University of Chicago,,
Dorka N,Dorka N,Author,1,Germany,Max Planck Institute of Biochemistry,,
Dragomir MP,Dragomir MP,Author,1,Germany,Institute of Pathology,,
Drici L,Drici L,Author,1,Denmark,University of Copenhagen,,
Dummer R,Dummer R,Author,1,Germany,Max Planck Institute of Biochemistry,,
Duteil C,Duteil C,Author,1,Germany,Max Planck Institute of Biochemistry,,
Dyring-Andersen B,Dyring-Andersen B,Author,1,Denmark,University of Copenhagen,,
Eckert MA,Eckert MA,Author,1,United States,University of Chicago,,
Engel DR,Engel DR,Author,1,Germany,University Hospital Essen,,
Fabián O,Fabián O,Author,1,Czech Republic,Institute for Clinical and Experimental Medicine,,
Fan R,Fan R,Author,1,Unknown,Yale University,,
Feldmeyer L,Feldmeyer L,Author,1,Switzerland,University of Bern,,
Fincham REA,Fincham REA,Author,1,Singapore,Singapore General Hospital (SGH),,
Florian S,Florian S,Author,1,Germany,Max-Delbrück-Center for Molecular Medicine in the Helmholtz Association (MDC),,
Forstner D,Forstner D,Author,1,Germany,Gottfried Schatz Research Center,,
Fraňková S,Fraňková S,Author,1,Czech Republic,Institute for Clinical and Experimental Medicine,,
French LE,French LE,Author,1,Germany,Ludwig Maximilian University (LMU) Munich,,
Frey N,Frey N,Author,1,Germany,University Hospital Heidelberg,,
Fritzsche S,Fritzsche S,Author,5,Germany,Max-Delbrück-Center for Molecular Medicine in the Helmholtz Association (MDC),,
Fromme M,Fromme M,Author,1,Germany,University Hospital RWTH,,
Fuseya S,Fuseya S,Author,1,Japan,National Institute of Advanced Industrial Science and Technology (AIST),,
Gasparello T,Gasparello T,Author,1,United Kingdom,University of Edinburgh,,
Gauster M,Gauster M,Author,1,Germany,Gottfried Schatz Research Center,,
Gil J,Gil J,Author,1,Sweden,Lund University,,
Gjerdrum LMR,Gjerdrum LMR,Author,1,Denmark,Aarhus University,,
Glukha N,Glukha N,Author,1,Germany,Max Planck Institute of Biochemistry,,
Gnann C,Gnann C,Author,1,Sweden,KTH - Royal Institute of Technology,,
Goh D,Goh D,Author,1,Singapore,Institute of Molecular and Cell Biology (IMCB),,
Gong T,Gong T,Author,1,China,The First Affiliated Hospital of Fujian Medical University,,
Gote-Schniering J,Gote-Schniering J,Author,1,Germany,Helmholtz Munich; Member of the German Center for Lung Research (DZL),,
Grandgenett PM,Grandgenett PM,Author,1,Denmark,University of Nebraska Medical Center,,
Grexa I,Grexa I,Author,1,Denmark,Eötvös Loránd Research Network,,
Gross A,Gross A,Author,1,Germany,Max Planck Institute of Biochemistry,,
Guedes J,Guedes J,Author,1,Sweden,Lund University,,
Habermann D,Habermann D,Author,1,Germany,University Hospital Essen,,
Haider S,Haider S,Author,1,Germany,Department of Obstetrics and Gynaecology,,
Hapek N,Hapek N,Author,1,Denmark,Eötvös Loránd Research Network,,
Hartlmayr D,Hartlmayr D,Author,1,France,Cellenion SASU,,
Hartmann N,Hartmann N,Author,1,Germany,University Hospital Heidelberg,,
Harz H,Harz H,Author,1,Germany,Ludwig-Maximilians-Universität München,,
Hasegawa A,Hasegawa A,Author,1,Japan,Niigata University Graduate School of Medical and Dental Sciences,,
Hausmann A,Hausmann A,Author,1,Switzerland,University of Copenhagen,,
Hayat S,Hayat S,Author,1,Germany,Max Planck Institute of Biochemistry,,
Heide J,Heide J,Author,1,United States,The University of Chicago,,
Heine C,Heine C,Author,1,Germany,University Hospital Heidelberg,,
Henneberg L,Henneberg L,Author,1,Germany,Max Planck Institute of Biochemistry,,
Hernandez JM,Hernandez JM,Author,1,United States,National Cancer Institute,,
Hernández SD,Hernández SD,Author,1,Denmark,Resolute Bio,,
Herse F,Herse F,Author,2,Germany,Institute of Pathology,,
Heymann T,Heymann T,Author,3,Germany,Max Planck Institute of Biochemistry,,
Hindson J,Hindson J,Author,1,Unknown,Unknown,,
Hollandi R,Hollandi R,Author,2,Denmark,Eötvös Loránd Research Network,,
Hollingsworth MA,Hollingsworth MA,Author,1,Denmark,University of Nebraska Medical Center,,
Hornburg D,Hornburg D,Author,1,United States,Billerica,,
Hornung V,Hornung V,Author,1,Germany,Gene Center and Department of Biochemistry,,
Horvath P,Horvath P,Author,4,Germany,HUN-REN,,
Horvatovich P,Horvatovich P,Author,1,Netherlands,University of Groningen,,
Huber A,Huber A,Author,1,Germany,Max Planck Institute of Biochemistry,,
Ibarra-Arellano MA,Ibarra-Arellano MA,Author,1,Germany,University Hospital Heidelberg and Heidelberg University,,
Ingen-Housz-Oro S,Ingen-Housz-Oro S,Author,1,France,Henri Mondor Hospital,,
Itang EC,Itang EC,Author,1,Germany,Max Planck Institute of Biochemistry,,
Iván ZZ,Iván ZZ,Author,1,Denmark,Eötvös Loránd Research Network,,
Jensen KB,Jensen KB,Author,1,Denmark,University of Copenhagen,,
Jez G,Jez G,Author,2,Denmark,University of Copenhagen,,
Ji C,Ji C,Author,1,China,The First Affiliated Hospital of Fujian Medical University,,
Jiang Y,Jiang Y,Author,1,China,Jiangnan University,,
Joerg L,Joerg L,Author,1,Switzerland,University of Bern,,
Johansson F,Johansson F,Author,1,Germany,Max Planck Institute of Biochemistry,,
Kabatnik S,Kabatnik S,Author,3,Denmark,University of Copenhagen,,
Kainacher L,Kainacher L,Author,1,Germany,Max Planck Institute of Biochemistry,,
Kaptás F,Kaptás F,Author,1,Denmark,Eötvös Loránd Research Network,,
Kelliher L,Kelliher L,Author,1,United States,The University of Chicago,,
Kenny HA,Kenny HA,Author,1,United States,The University of Chicago,,
Kim B,Kim B,Author,1,Denmark,New York University Grossman School of Medicine,,
Kimura H,Kimura H,Author,1,Japan,Niigata University Graduate School of Medical and Dental Sciences,,
Kjærgaard J,Kjærgaard J,Author,1,Germany,Max Planck Institute of Biochemistry,,
Klauschen F,Klauschen F,Author,2,Germany,Max Planck Institute of Biochemistry,,
Kleiner DE,Kleiner DE,Author,1,United States,National Cancer Institute,,
Klingeberg M,Klingeberg M,Author,2,Germany,Institute of Pathology,,
Klute KA,Klute KA,Author,1,Denmark,University of Nebraska Medical Center,,
Kokai D,Kokai D,Author,1,Denmark,Eötvös Loránd Research Network,,
Koos K,Koos K,Author,1,Denmark,Eötvös Loránd Research Network,,
Kovacs F,Kovacs F,Author,2,Germany,Max Planck Institute of Biochemistry,,
Kovács F,Kovács F,Author,1,Denmark,Eötvös Loránd Research Network,,
Krag A,Krag A,Author,1,Denmark,Centre for Liver Research,,
Kratz E,Kratz E,Author,2,Germany,Max Planck Institute of Biochemistry,,
Krishnan R,Krishnan R,Author,1,United States,The University of Chicago,,
Krisp C,Krisp C,Author,1,Germany,MDC-Bruker Center of Excellence for Single Cell Omics,,
Kriston A,Kriston A,Author,2,Denmark,Eötvös Loránd Research Network,,
Kuno A,Kuno A,Author,1,Japan,National Institute of Advanced Industrial Science and Technology (AIST),,
Kurnit KC,Kurnit KC,Author,1,United States,The University of Chicago,,
König J,König J,Author,1,Germany,Max-Delbrück-Center for Molecular Medicine in the Helmholtz Association (MDC),,
Larsen HL,Larsen HL,Author,1,Denmark,University of Copenhagen,,
Lastra RR,Lastra RR,Author,1,United States,The University of Chicago,,
Lavine KJ,Lavine KJ,Author,1,United States,Washington University School of Medicine,,
Lebedev M,Lebedev M,Author,1,Germany,Max Planck Institute of Biochemistry,,
Lengyel E,Lengyel E,Author,3,United States,The University of Chicago,,
Leonhardt H,Leonhardt H,Author,1,Germany,Ludwig-Maximilians-Universität München,,
Leuschner F,Leuschner F,Author,1,Germany,University Hospital Heidelberg,,
Levesque MP,Levesque MP,Author,3,Switzerland,University of Zurich,,
Lewin GR,Lewin GR,Author,1,Germany,Max-Delbrück-Center for Molecular Medicine in the Helmholtz Association (MDC),,
Li Y,Li Y,Author,1,United States,The University of Chicago,,
Lindberg EL,Lindberg EL,Author,1,Germany,Max Planck Institute of Biochemistry,,
Lindskog C,Lindskog C,Author,1,Germany,Max Planck Institute of Biochemistry,,
Liu L,Liu L,Author,1,China,Jiangnan University,,
Lukas C,Lukas C,Author,1,Denmark,University of Copenhagen,,
Lundberg E,Lundberg E,Author,4,Sweden,KTH - Royal Institute of Technology,,
Luo W,Luo W,Author,1,Germany,Max-Delbrück-Center for Molecular Medicine in the Helmholtz Association (MDC),,
Lõhmussaar K,Lõhmussaar K,Author,1,Denmark,University of Copenhagen,,
MacDonald PE,MacDonald PE,Author,1,Germany,Max Planck Institute of Biochemistry,,
Madden K,Madden K,Author,1,Germany,Max Planck Institute of Biochemistry,,
Madden KG,Madden KG,Author,1,Germany,Max Planck Institute of Biochemistry,,
Madsen GI,Madsen GI,Author,1,Denmark,Odense University Hospital,,
Maegdefessel L,Maegdefessel L,Author,1,Germany,Max Planck Institute of Biochemistry,,
Mahdessian D,Mahdessian D,Author,1,Denmark,Eötvös Loránd Research Network,,
Maimets M,Maimets M,Author,1,Denmark,University of Copenhagen,,
Maitra A,Maitra A,Author,1,Denmark,New York University Grossman School of Medicine,,
